,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Modulus
4834,0,34.7826087,58.69565217,0,4.347826087,0,0,2.173913043,0,0,0,0,0,0,0,0,0,175.5
4835,0,33.33333333,58.88888889,0,4.444444444,0,0,3.333333333,0,0,0,0,0,0,0,0,0,69.5
4836,0,31.81818182,59.09090909,0,4.545454545,0,0,4.545454545,0,0,0,0,0,0,0,0,0,74.5
4837,0,30.23255814,59.30232558,0,4.651162791,0,0,5.813953488,0,0,0,0,0,0,0,0,0,77.5
4838,0,28.57142857,59.52380952,0,4.761904762,0,0,7.142857143,0,0,0,0,0,0,0,0,0,76.5
4839,0,26.82926829,59.75609756,0,4.87804878,0,0,8.536585366,0,0,0,0,0,0,0,0,0,75.5
4840,0,25,60,0,5,0,0,10,0,0,0,0,0,0,0,0,0,76.5
4841,0,23.07692308,60.25641026,0,5.128205128,0,0,11.53846154,0,0,0,0,0,0,0,0,0,74.5
4842,0,21.05263158,60.52631579,0,5.263157895,0,0,13.15789474,0,0,0,0,0,0,0,0,0,84.5
4843,0,18.91891892,60.81081081,0,5.405405405,0,0,14.86486486,0,0,0,0,0,0,0,0,0,102.5
4844,0,16.66666667,61.11111111,0,5.555555556,0,0,16.66666667,0,0,0,0,0,0,0,0,0,59.18153846
4845,0,14.28571429,61.42857143,0,5.714285714,0,0,18.57142857,0,0,0,0,0,0,0,0,0,81.4
4846,0,11.76470588,61.76470588,0,5.882352941,0,0,20.58823529,0,0,0,0,0,0,0,0,0,76.6
4847,0,9.090909091,62.12121212,0,6.060606061,0,0,22.72727273,0,0,0,0,0,0,0,0,0,43.19
4848,0,6.25,62.5,0,6.25,0,0,25,0,0,0,0,0,0,0,0,0,73.05
4849,0,14.28571429,57.14285714,0,14.28571429,0,0,14.28571429,0,0,0,0,0,0,0,0,0,76.65
4850,0,23.25581395,60.46511628,0,4.651162791,0,0,11.62790698,0,0,0,0,0,0,0,0,0,76.65
4851,9.74025974,0,61.36363636,0,0,0,2.597402597,26.2987013,0,0,0,0,0,0,0,0,0,67.65
4852,9.259259259,0,60.80246914,0,0,0,7.407407407,22.5308642,0,0,0,0,0,0,0,0,0,72.7
4853,7.602339181,0,60.81871345,0,0,0,12.28070175,19.29824561,0,0,0,0,0,0,0,0,0,107.6666667
4854,10.11904762,0,59.82142857,0,0,0,10.71428571,19.3452381,0,0,0,0,0,0,0,0,0,63.7
4855,8.720930233,0,60.1744186,0,0,0,12.79069767,18.31395349,0,0,0,0,0,0,0,0,0,61.90857143
4856,18.86792453,0,56.28930818,0,0,0,5.660377358,19.18238994,0,0,0,0,0,0,0,0,0,72.64666667
