,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Expansion
116,0,0,59.85423174,0,0,17.47731667,5.919976201,16.74847538,0,0,0,0,0,0,0,0,0,45
117,0,0,59.35493851,0,0,19.96287416,3.94462062,16.73756671,0,0,0,0,0,0,0,0,0,50.5
118,0,0,58.52068434,0,0,22.46631633,3.94326129,15.06973804,0,0,0,0,0,0,0,0,0,55
119,0,0,63.33333333,0,0,0,6.666666667,23.33333333,0,0,6.666666667,0,0,0,0,0,0,45.6
120,0,0,62.5,0,0,0,12.5,18.75,0,0,6.25,0,0,0,0,0,0,43.8
121,0,0,62.12121212,0,0,0,15.15151515,16.66666667,0,0,6.060606061,0,0,0,0,0,0,39.9
122,0,0,60,0,0,0,13.33333333,13.33333333,0,0,13.33333333,0,0,0,0,0,0,67.5
123,0,0,59.375,0,0,0,18.75,9.375,0,0,12.5,0,0,0,0,0,0,61.7
124,0,0,63.62252664,0,0,0,11.87214612,21.30898021,0,0,0,0,0,0,0,3.196347032,0,31
125,0,0,63.55140187,0,0,0,10.59190031,21.80685358,0,0,0,0,0,0,0,4.049844237,0,38
126,0,0,63.46153846,0,0,0,8.974358974,22.43589744,0,0,0,0,0,0,0,5.128205128,0,44
127,0,0,63.39869281,0,0,0,7.843137255,22.87581699,0,0,0,0,0,0,0,5.882352941,0,50
128,0,0,63.04347826,0,0,0,11.80124224,20.1863354,0,0,0,0,0,0,0,4.968944099,0,38
129,0,0,62.97468354,0,0,0,10.75949367,20.56962025,0,0,0,0,0,0,0,5.696202532,0,44
130,0,0,62.86644951,0,0,0,9.120521173,21.17263844,0,0,0,0,0,0,0,6.840390879,0,51
131,0,0,62.79069767,0,0,0,7.973421927,21.59468439,0,0,0,0,0,0,0,7.641196013,0,56
132,0,0,62.35864297,0,0,0,10.66235864,19.38610662,0,0,0,0,0,0,0,7.592891761,0,52
133,0,0,62.27347611,0,0,0,9.555189456,19.7693575,0,0,0,0,0,0,0,8.401976936,0,57
134,0,0,62.16216216,0,0,0,8.108108108,20.27027027,0,0,0,0,0,0,0,9.459459459,0,63
135,0,0,61.76470588,0,0,0,11.11111111,17.97385621,0,0,0,0,0,0,0,9.150326797,0,57
136,0,0,61.61616162,0,0,0,9.427609428,18.51851852,0,0,0,0,0,0,0,10.43771044,0,64
137,0,0,61.48531952,0,0,0,7.944732297,18.99827288,0,0,0,0,0,0,0,11.5716753,0,70
139,0,11.17191472,64.51063066,0,0,0,0,23.43530397,0,0,0,0,0,0,0,0,0.882150653,28
140,0,6.525752849,64.90736614,0,0,0,0,26.55185586,0,0,0,0,0,0,0,0,2.015025148,25
141,0,15.87777621,63.76856698,0,0,0,0,19.59824586,0,0,0,0,0,0,0,0,0.755410949,34
142,0,11.982009,64.02698651,0,0,0,0,22.06296852,0,0,0,0,0,0,0,0,1.928035982,32
143,0,7.106436199,64.38123336,0,0,0,0,25.20924863,0,0,0,0,0,0,0,0,3.303081807,31
144,0,20.7172377,62.97826956,0,0,0,0,15.59792028,0,0,0,0,0,0,0,0,0.706572457,47
