,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Thermal_Conductivity_RT
140,0,7.085573821,64.13888462,0,2.445844216,0,0.743585804,25.58611154,0,0,0,0,0,0,0,0,0,1.222176327
141,0,1.700457816,66.35055592,0,0,0,0.196206671,31.75277959,0,0,0,0,0,0,0,0,0,3.228078744
143,0,0,66.66666667,0,0,0,0,31.54666667,0,0,0,1.786666667,0,0,0,0,0,2.700271372
145,0,0,60.24969655,0,9.328940524,1.53632738,0.811513785,24.75810647,0,0,3.315415294,0,0,0,0,0,0,-2.29035877
148,0,0.0000185,66.66526306,0,0.00017423,0,0.001855961,33.33263153,0,0.0000205,0,0,0.0000359,0,0,0,0,4.054651081
149,0,0.0000556,66.66571667,0,0.000174231,0,0.001113651,33.33285834,0,0.0000512,0,0,0.0000287,0,0,0,0,4.054651081
151,0,0,66.6632224,0,0.000499974,0,0.003333161,33.3316112,0,0.000499974,0,0,0.00083329,0,0,0,0,4.700036292
152,0,0,66.6636668,0,0.000333318,0,0.003333183,33.3318334,0,0.000333318,0,0,0.000499978,0,0,0,0,4.700036292
153,0,0,66.6631113,0,0.000499973,0,0.003333156,33.33155565,0,0.000499973,0,0,0.000999947,0,0,0,0,4.700036292
154,0,0.0000556,66.66543042,0,0.00017423,0,0.001484639,33.33271521,0,0.000102465,0,0,0.0000359,0,0,0,0,4.054651081
156,0,0.00000557,66.66623875,0,0.0000174,0,0.000593996,33.33311937,0,0.0000102,0,0,0.0000143,0,0,0,0,4.054651081
180,26.75333333,0,53.29,0,0,0,0,19.95666667,0,0,0,0,0,0,0,0,0,-2.600669054
182,0,0,52.37704357,0,26.84178124,0,0,18.17497777,0,0,0,0,0,0,0,2.606197414,0,-6.161861394
183,0,0,53.17868549,0,26.40443772,0,0,19.55958985,0,0,0,0,0,0,0,0.857286939,0,-6.01479992
184,0,0,51.80407037,0,27.4025526,0,0,17.30941704,0,0,0,0,0,3.483959986,0,0,0,-5.568695623
185,0,0,52.37688098,0,26.85362517,0,0,18.18057456,0,0,0,0,0,2.588919289,0,0,0,-6.124892775
186,0,0,53.00874161,0,26.218066,0,0,19.12651623,0,0,0,0,0,1.646676154,0,0,0,-4.845083154
187,0,0,53.18834247,0,26.39416451,0,0,19.57376719,0,0,0,0,0,0.84372584,0,0,0,-5.310283311
188,0,0,51.96413175,0,27.10122435,0,0,17.47887567,0,0,3.455768236,0,0,0,0,0,0,-4.200712605
189,0,0,52.77627119,0,26.65762712,0,0,18.88135593,0,0,1.684745763,0,0,0,0,0,0,-4.557063245
190,0,0,53.05367887,0,26.66801116,0,0,19.44136332,0,0,0.836946657,0,0,0,0,0,0,-4.400565529
191,0,0,51.96348605,0,27.17878057,3.341370996,0,17.51636238,0,0,0,0,0,0,0,0,0,-4.462871026
192,0,0,53.1890584,0,26.41306539,0.813226695,0,19.58464951,0,0,0,0,0,0,0,0,0,-4.910229965
193,24.12666667,0,54.60333333,0,0,0,0,21.27,0,0,0,0,0,0,0,0,0,-1.625189295
194,22.30223022,0,55.51555156,0,0,0,0,22.18221822,0,0,0,0,0,0,0,0,0,-1.278333715
195,21.36666667,0,55.98333333,0,0,0,0,22.65,0,0,0,0,0,0,0,0,0,-1.053605157
198,21.33333333,0,56,0,0,0,0,22.66666667,0,0,0,0,0,0,0,0,0,-1.053605157
199,22.26666667,0,55.53333333,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,-1.278333715
200,24.13333333,0,54.6,0,0,0,0,21.26666667,0,0,0,0,0,0,0,0,0,-1.625189295
202,0,7.624091637,60.50314078,0,9.785687893,0,0,22.08707969,0,0,0,0,0,0,0,0,0,0.953101798
203,0,0,60.71098444,0,0,0,0,22.1961177,0,1.548297643,0,0,0,0,0,0,15.54460022,-5.344354894
205,0,7.62,62.03119814,0,6.112904686,0,1.858612678,22.38180008,0,0,0,0,0,0,0,0,0,1.222176327
206,0,5.792077648,61.00904421,0,5.527368985,0,0,23.7040305,0,3.636592821,0,0,0,0,0,0.330885829,0,1.070590723
220,0,0,60.11486918,0,0,0,0,20.22973835,0,0,0,0,0,0,0,0,19.65539247,-6.084384526
230,0,4.070264282,63.29799019,0,4.260167748,0,1.690140845,25.80471594,0,0,0.250039563,0,0.082291502,0,0,0.544389935,0,1.552928844
233,0,7.139349294,63.72314303,0,3.247391037,0,0.779619398,25.11049724,0,0,0,0,0,0,0,0,0,1.697427746
234,0,6.983248809,64.08175811,0,2.569540495,0,0.817581067,25.54787152,0,0,0,0,0,0,0,0,0,1.697427746
254,0,26.30136986,57.53424658,0,0,0,3.835616438,0,0,0,0,0,0,0,0,0,12.32876712,-4.197668928
260,0,0,67.0212766,0,0,9.574468085,1.063829787,0,22.34042553,0,0,0,0,0,0,0,0,-4.326307762
262,0,0,61.7473797,0,0,0,0,23.49475939,0,0,0,0,0,0,0,0,14.75786091,-4.447258221
263,0,0,60.83346389,0,0,0,0,21.66692778,0,0,0,0,0,0,0,0,17.49960833,-5.259392616
267,0,0,66.66666667,0,0,0,0,31.43333333,0,0,0,1.9,0,0,0,0,0,2.700271372
278,13.82950519,27.70239329,51.80159553,0,6.666505989,0,0,0,0,0,0,0,0,0,0,0,0,15.47562509
279,11.54729002,29.73251511,53.15501007,0,5.565184803,0,0,0,0,0,0,0,0,0,0,0,0,16.2924054
280,9.251762565,31.7716625,54.51444166,0,4.462133273,0,0,0,0,0,0,0,0,0,0,0,0,17.36951233
281,14.32035373,28.68349736,52.45566491,0,0,0,0,0,0,4.540484001,0,0,0,0,0,0,0,15.89235205
282,11.8855398,30.60908187,53.73938791,0,0,0,0,0,0,3.765990423,0,0,0,0,0,0,0,16.48658626
283,9.47003779,3.25E+01,55.01169696,0,0,0,0,0,0,3.00E+00,0,0,0.00E+00,0,0,0,0,17.91759469
284,0,3.23E+01,54.84919632,0,7.765938234,0,0,0,0,5.11E+00,0,0,0.00E+00,0,0,0,0,17.59580571
285,0,33.72439849,55.81626566,0,6.310068271,0,0,0,0,4.149267581,0,0,0,0,0,0,0,18.50028377
286,0,35.09865005,56.73243337,0,4.928175839,0,0,0,0,3.240740741,0,0,0,0,0,0,0,19.05088155
287,0,31.03448276,54.02298851,0,14.94252874,0,0,0,0,0,0,0,0,0,0,0,0,16.71473303
288,0,31.34324873,54.69191436,0,12.5755913,0,0,0,0,0,1.389245605,0,0,0,0,0,0,16.93779061
289,0,3.17E+01,55.37480139,0,10.15912163,0,0,0,0,0,2.807749769,0,0.00E+00,0,0,0,0,17.19188776
290,0,31.74990223,54.75374388,0,12.73492673,0,0,0,0,0,0,0,0,0.761427158,0,0,0,17.01105101
291,0,3.25E+01,55.51693179,0,1.04E+01,0,0,0,0,0.00E+00,0,0,0.00E+00,1.558507332,0,0,0,17.31655545
292,0,31.90778942,54.77747793,0,12.79787769,0,0,0,0,0,0,0,0,0,0,0.51685496,0,16.95615609
293,0,32.82909852,55.574259,0,10.53206251,0,0,0,0,0,0,0,0,0,0,1.064579969,0,17.35189118
294,0,0,63.59943316,0,2.494095418,0.050385766,5.504644938,26.21949299,0,1.461187215,0.286569044,0.025192883,0.358998583,0,0,0,0,7.385984435
296,0,0,52.78670773,0,26.74021184,0,0,18.94352137,0,0,1.529559067,0,0,0,0,0,0,-4.557063245
297,0,0,52.36449494,0,26.89570216,0,0,18.17684095,0,0,2.562961949,0,0,0,0,0,0,-4.700036292
298,5.590611884,14.35056963,58.64717471,0,5.664848814,0,0,15.74679496,0,0,0,0,0,0,0,0,0,1.823215568
299,6.484988453,7.630484988,58.90993072,0,6.484988453,0,0,20.48960739,0,0,0,0,0,0,0,0,0,2.546422184
301,0,6.200006425,58.92897298,0,11.08291304,1.606219281,0.616788204,19.10758457,0,0,1.574094895,0.883420605,0,0,0,0,0,2.851789422
302,0,0,66.70227628,0,0,0,0,0,20.65083409,0,0,0,4.856602843,0,0,0,7.790286794,-5.108256238
303,0,0,61.05277239,0,8.915791586,1.361112969,1.357768711,26.25242459,0,0.73573674,0.324393017,0,0,0,0,0,0,0.573250666
305,0,0,60.90881733,0,9.964222423,1.655130906,1.344166917,26.12766242,0,0,0,0,0,0,0,0,0,0.535407669
307,0,0.861155273,62.48675146,0,6.511658718,1.636195019,1.410969793,27.09326974,0,0,0,0,0,0,0,0,0,1.336563848
309,0,0.87070973,60.99355405,0,7.525901927,2.514258716,0.398231582,25.9761736,0,1.721170396,0,0,0,0,0,0,0,0.459289319
311,8.981516801,0,59.4028505,0,0,4.043416444,0,24.72171169,0,2.85050456,0,0,0,0,0,0,0,0.962188577
312,0,0,56.11767941,0,0,2.378333792,19.02667033,2.722023646,0,0,19.75529282,0,0,0,0,0,0,4.382549309
313,6.432604959,0,61.5209919,0,0,1.215320403,9.145592929,21.68548981,0,0,0,0,0,0,0,0,0,1.823215568
314,13.05797007,0,59.15953206,0,0,0,1.967191687,24.5147376,0,1.30056859,0,0,0,0,0,0,0,1.823215568
321,0,0,66.56700249,0,0,0,2.166612501,0,21.36713249,0,9.899252519,0,0,0,0,0,0,-3.566749439
325,0,0,60.31746032,0,6.349206349,4.761904762,9.523809524,19.04761905,0,0,0,0,0,0,0,0,0,0.861776962
327,0,0,59.62578097,0,3.314881357,0,9.47848888,17.77540384,0,3.211291315,0,0,0,6.594153637,0,0,0,-0.833816089
328,7.992247178,0,61.57222666,0,0.057006043,0,9.109565614,18.5782693,2.690685213,0,0,0,0,0,0,0,0,1.570037488
329,9.109361545,0,60.02890884,0,0.049206544,0,9.275433633,19.99938492,0,0,1.537704515,0,0,0,0,0,0,1.988508587
330,9.297457053,0,59.91318269,0,0.061572563,0,9.242041746,19.88485931,0,0,0,0,0,0,0,1.600886645,0,1.823215568
331,4.417816509,0,60.65419995,0,4.532800775,0,9.222948439,19.76519003,0,0,0,1.407044299,0,0,0,0,0,1.739533071
332,4.422393728,0,60.13414186,0,4.759279677,1.176038221,9.298052187,20.21009433,0,0,0,0,0,0,0,0,0,1.570037488
333,4.511832049,0,59.99201989,0,4.794205212,0,9.324452902,19.97483196,0,0,0,0,0,1.402657991,0,0,0,1.570037488
335,4.42516002,0,60.06893156,0,4.683653373,0,9.207287051,20.08862629,0,0,1.526341704,0,0,0,0,0,0,1.739533071
336,4.453466199,0,60.04797933,0,4.638002091,0,9.300608968,19.99138833,0,0,0,0,0,0,0,1.568555084,0,1.310282624
338,0,0,60.18457936,0,3.987740625,0,3.374771859,22.37335996,0,3.395433727,0,0,0,3.35410999,0,3.330004477,0,-2.357223335
339,0,0,59.87622308,0,4.211181413,0,3.429796356,21.87186668,0,3.457456004,0,0,0,5.300280054,0,1.853196418,0,-2.231435513
340,0,0,60.05579857,0,4.112561568,0,3.396135432,22.21609892,0,3.492577412,0,0,0,6.664829677,0,0.061998416,0,-1.508228897
342,0,0,59.81102145,0,4.365818332,0,3.400234499,21.92565004,0,3.641630457,1.703565763,0,0,3.351955307,0,1.800124146,0,-1.392620673
343,0,0,59.78795911,0,4.488657878,0,3.394031187,21.97170493,0,3.696946749,1.703900038,0,0,4.915493443,0,0.041306668,0,-1.053605157
346,0,0,59.91455053,0,4.265582469,0.034455432,3.424869931,22.0342487,0,3.569582745,3.421424388,0,0,3.335285808,0,0,0,-0.943106795
348,0,0,60.0703424,0,3.999862074,1.575807731,3.461949588,22.12682321,0,3.434364332,3.617116651,0,0,1.713734009,0,0,0,-4.780358009
349,0,0,60.04614961,0,4.174128668,1.62212426,3.409560546,22.19658355,0,3.444000551,0,0,0,5.06268081,0,0.044772007,0,-1.278333715
351,0,0,60.56477837,0,3.847338696,6.04141708,3.354441212,22.9813452,0,3.210679445,0,0,0,0,0,0,0,0.861776962
352,0,0,62.58864003,0,0,2.871586042,4.612792249,22.87088394,0,0,7.056097732,0,0,0,0,0,0,1.310282624
353,0,0,62.64305841,0,0,4.466553032,5.14140606,22.71541378,0,0,5.03356872,0,0,0,0,0,0,1.484200051
354,0,0,62.55391679,0,0,6.149993043,5.322109364,22.44677891,0,0,3.527201892,0,0,0,0,0,0,1.823215568
357,0,0,54.80220524,0,9.762388368,0,6.473869169,16.08795177,0,9.678563368,3.195022085,0,0,0,0,0,0,-1.392620673
358,0,0,54.777358,0,9.719396816,0,6.554942039,15.93206109,0,9.590235397,0,0,0,0,0,3.426006652,0,-2.613647641
363,0,8.748022874,64.04367928,0,2.329967149,0,0,24.00535345,0,0,0,0.295048059,0,0,0.577929188,0,0,2.151113796
364,0,8.287691845,62.64520012,0,4.303340355,0,1.913933193,22.35028589,0,0.018055974,0.349082155,0,0,0,0,0.132410472,0,1.655144385
365,0,5.752157059,63.19557334,0,4.170313868,0,1.162936101,24.5373265,0,0,0.700262598,0.481430536,0,0,0,0,0,2.31111721
367,0,0,59.45667125,0,11.76066025,0,0,24.51856946,0,0,3.71389271,0,0.550206327,0,0,0,0,0
368,0,0,60.09699866,0,9.137555352,2.115695509,0.246011106,24.7065439,0,0.133548886,3.563646587,0,0,0,0,0,0,0
369,0,0,58.78055442,0,10.98593473,0.051208521,0.87395876,23.76758159,0,2.300969548,3.226136829,0,0,0,0,0.013655606,0,-1.625189295
370,0,0,57.53061997,0,14.86429709,0.03494193,0.181698037,22.40476562,0,0.004452301,4.979225048,0,0,0,0,0,0,-1.392620673
371,0,0,58.16124666,0,12.03623364,0.052059834,1.02731406,22.42737653,0,1.20084684,5.094922431,0,0,0,0,0,0,-1.863295782
372,0,0,58.09474591,0,11.8794143,0.261843239,0.826873385,22.81481481,0,2.198105082,3.924203273,0,0,0,0,0,0,-1.508228897
373,0,0,58.2740029,0,11.29467063,0.2661229,0.843298542,22.86928873,0,2.191193751,3.981475081,0,0,0,0,0.279947467,0,-1.863295782
374,0,0,58.17774981,0,12.85924061,0,0.412558562,22.80260122,0,0.447521152,5.300328648,0,0,0,0,0,0,-1.625189295
376,22,0,55.66666667,0,0,0,0,22.33333333,0,0,0,0,0,0,0,0,0,8.109302162
377,0,0,55.66666667,0,0,0,0,22.33333333,0,22,0,0,0,0,0,0,0,-3.566749439
